epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
95,11390.2,0.24573,0.39229,0.36445,0.86402,0,0.98156,0.97712,0.98628,0.97909,0.97954,0.97506,0.98311,0.98031,0.10558,0.22783,0.12636,0.75997,0,2.06938e-05,2.06938e-05,2.06938e-05
96,11510.5,0.25051,0.39633,0.37062,0.86745,0,0.98167,0.97836,0.98652,0.97959,0.97958,0.9764,0.98313,0.98056,0.10417,0.2199,0.12106,0.75879,0,1.93139e-05,1.93139e-05,1.93139e-05
97,11632,0.24254,0.38426,0.35791,0.86309,0,0.97886,0.98025,0.98576,0.97926,0.97686,0.9782,0.98259,0.9801,0.10516,0.22113,0.12411,0.75993,0,1.79803e-05,1.79803e-05,1.79803e-05
98,11750.7,0.24337,0.38151,0.36606,0.86488,0,0.9791,0.97757,0.98631,0.97985,0.97705,0.9756,0.98314,0.98024,0.10419,0.22233,0.12471,0.75982,0,1.66939e-05,1.66939e-05,1.66939e-05
99,11870.7,0.23929,0.38041,0.34669,0.85983,0,0.98029,0.97859,0.9857,0.97882,0.97819,0.9766,0.98253,0.97945,0.10433,0.22011,0.12464,0.75915,0,1.54556e-05,1.54556e-05,1.54556e-05
100,11990.4,0.24445,0.38515,0.36542,0.86144,0,0.98045,0.97995,0.98603,0.97987,0.97845,0.97789,0.98309,0.9804,0.10315,0.21958,0.12297,0.75852,0,1.42662e-05,1.42662e-05,1.42662e-05
101,12110.5,0.1327,0.21651,0.14268,0.82911,0,0.9788,0.9792,0.98614,0.97744,0.9768,0.97714,0.98228,0.97894,0.10472,0.22524,0.12561,0.75864,0,1.31266e-05,1.31266e-05,1.31266e-05
102,12228.3,0.13699,0.22269,0.14102,0.83768,0,0.98063,0.98274,0.98566,0.97717,0.97854,0.98074,0.98204,0.97833,0.10244,0.22785,0.12085,0.75818,0,1.20375e-05,1.20375e-05,1.20375e-05
103,12348.1,0.13391,0.21273,0.13875,0.8357,0,0.97836,0.97926,0.98534,0.97764,0.97627,0.97728,0.98172,0.97863,0.10203,0.22605,0.12514,0.75777,0,1.09997e-05,1.09997e-05,1.09997e-05
104,12466.9,0.13809,0.22617,0.13993,0.84073,0,0.97464,0.98243,0.98531,0.97755,0.97261,0.98043,0.98169,0.97887,0.10102,0.22333,0.12604,0.75763,0,1.00139e-05,1.00139e-05,1.00139e-05
105,12580.7,0.13501,0.21103,0.13978,0.83755,0,0.97649,0.97966,0.9851,0.97726,0.97444,0.97769,0.98148,0.97878,0.10107,0.22404,0.12621,0.75723,0,9.08074e-06,9.08074e-06,9.08074e-06
106,12696.1,0.13561,0.21978,0.13928,0.83642,0,0.97824,0.98011,0.9854,0.9781,0.97626,0.97805,0.98154,0.97896,0.10029,0.22385,0.12639,0.75729,0,8.2009e-06,8.2009e-06,8.2009e-06
107,12816.3,0.13898,0.2298,0.13367,0.84423,0,0.97913,0.97995,0.98425,0.97742,0.97705,0.97797,0.9804,0.97771,0.09966,0.22211,0.12722,0.75654,0,7.37496e-06,7.37496e-06,7.37496e-06
108,12934.2,0.12656,0.20534,0.13178,0.83064,0,0.97957,0.98027,0.98448,0.97786,0.97748,0.97829,0.98062,0.9776,0.09994,0.22101,0.12515,0.75665,0,6.6035e-06,6.6035e-06,6.6035e-06
109,13053.9,0.13187,0.21692,0.13738,0.83389,0,0.9802,0.981,0.98415,0.97758,0.9781,0.97905,0.9803,0.97738,0.09969,0.21973,0.12298,0.75709,0,5.88705e-06,5.88705e-06,5.88705e-06
110,13173.3,0.1324,0.22089,0.1328,0.84177,0,0.97885,0.98182,0.98441,0.97819,0.97684,0.97976,0.98101,0.97816,0.09948,0.22134,0.12393,0.75669,0,5.22609e-06,5.22609e-06,5.22609e-06
111,13292.7,0.12478,0.20207,0.12839,0.83261,0,0.97798,0.98099,0.98407,0.97794,0.97588,0.979,0.98067,0.97787,0.09915,0.2216,0.12484,0.75678,0,4.62108e-06,4.62108e-06,4.62108e-06
112,13411.9,0.13137,0.20883,0.12759,0.83529,0,0.97859,0.9822,0.98384,0.97765,0.97658,0.98014,0.98022,0.97729,0.09864,0.22263,0.12404,0.75646,0,4.07242e-06,4.07242e-06,4.07242e-06
